DeliveryPartnerID,PartnerName,VehicleType,ExperienceLevel,JoiningDate
3074,Neha Singh,Bike,Experienced,2021-11-29
3075,Meera Kumar,Electric Bike,Experienced,2023-04-09
3076,Aarav Rao,Bicycle,Intermediate,2021-11-16
3077,Meera Singh,Scooter,Experienced,2022-08-29
3078,Divya Naidu,Bike,Experienced,2025-02-01
3079,Rohan Rao,Bike,Intermediate,2021-03-24
3080,Riya Patel,Electric Bike,Intermediate,2023-04-03
3081,Vivaan Verma,Scooter,Intermediate,2022-10-31
3082,Amit Patel,Bike,Beginner,2022-03-31
3083,Divya Reddy,Electric Bike,Beginner,2025-10-06
3084,Riya Verma,Bike,Experienced,2022-10-13
3085,Sneha Kumar,Electric Bike,Intermediate,2023-01-10
3086,Aarav Singh,Bicycle,Intermediate,2023-02-03
3087,Neha Reddy,Scooter,Experienced,2023-07-02
3088,Kavya Das,Bicycle,Beginner,2023-06-29
3089,Kavya Gupta,Scooter,Experienced,2025-01-30
3090,Aditya Kumar,Scooter,Intermediate,2024-05-09
3091,Pooja Naidu,Bike,Experienced,2025-11-12
3092,Sneha Reddy,Bike,Intermediate,2024-04-24
3093,Kavya Kumar,Electric Bike,Experienced,2022-07-14
3094,Rohan Patel,Scooter,Experienced,2025-03-27
3095,Neha Das,Bike,Experienced,2022-08-16
3096,Isha Singh,Electric Bike,Intermediate,2022-09-11
3097,Suresh Sharma,Bike,Beginner,2023-08-08
3098,Meera Reddy,Bicycle,Intermediate,2022-09-07
3099,Suresh Sharma,Bike,Experienced,2023-10-05
3100,Aditya Verma,Bicycle,Intermediate,2023-10-07
3101,Kavya Singh,Electric Bike,Experienced,2024-03-04
3102,Arjun Naidu,Bike,Experienced,2025-08-03
3103,Isha Sharma,Scooter,Intermediate,2021-11-30
3104,Rohan Naidu,Scooter,Beginner,2025-12-04
3105,Kavya Naidu,Bike,Intermediate,2023-01-10
3106,Aditya Rao,Scooter,Experienced,2023-12-21
3107,Arjun Verma,Scooter,Intermediate,2022-01-11
3108,Ananya Singh,Bicycle,Experienced,2025-11-22
3109,Priya Reddy,Bicycle,Experienced,2024-11-10
3110,Rohan Rao,Bicycle,Intermediate,2021-01-27
3111,Kavya Naidu,Scooter,Beginner,2023-09-21
3112,Pooja Patel,Scooter,Experienced,2021-11-13
3113,Riya Rao,Bike,Intermediate,2024-02-19
3114,Arjun Kumar,Bike,Intermediate,2021-06-06
3115,Priya Kumar,Electric Bike,Experienced,2022-10-01
3116,Pooja Naidu,Scooter,Experienced,2024-05-08
3117,Arjun Patel,Scooter,Experienced,2021-02-28
3118,Suresh Singh,Scooter,Beginner,2021-10-19
3119,Kavya Reddy,Bike,Beginner,2021-06-10
3120,Kavya Sharma,Scooter,Beginner,2023-09-19
3121,Pooja Verma,Bike,Intermediate,2025-06-13
3122,Vivaan Reddy,Bicycle,Experienced,2022-06-03
3123,Arjun Reddy,Scooter,Intermediate,2025-03-26
3124,Rahul Naidu,Bike,Beginner,2022-02-14
3125,Amit Verma,Bicycle,Intermediate,2025-09-29
3126,Pooja Verma,Scooter,Intermediate,2025-10-18
3127,Arjun Verma,Bike,Intermediate,2021-05-20
3128,Kiran Singh,Scooter,Experienced,2025-01-05
3129,Aarav Reddy,Scooter,Experienced,2024-01-06
3130,Meera Naidu,Scooter,Intermediate,2025-10-10
3131,Rahul Naidu,Electric Bike,Intermediate,2021-08-08
3132,Suresh Gupta,Bike,Experienced,2023-11-20
3133,Arjun Das,Bike,Intermediate,2022-10-06
3134,Priya Singh,Bike,Beginner,2023-10-13
3135,Arjun Gupta,Bicycle,Intermediate,2023-10-09
3136,Vikram Das,Scooter,Intermediate,2025-02-16
3137,Kavya Patel,Bike,Experienced,2022-08-19
3138,Meera Naidu,Scooter,Beginner,2025-07-02
3139,Meera Reddy,Electric Bike,Intermediate,2024-10-12
3140,Aditya Reddy,Scooter,Intermediate,2024-09-10
3141,Isha Reddy,Scooter,Beginner,2024-11-24
3142,Ananya Patel,Electric Bike,Beginner,2022-02-12
3143,Kavya Das,Bicycle,Experienced,2025-09-13
3144,Isha Verma,Bicycle,Experienced,2025-04-18
3145,Sneha Naidu,Electric Bike,Experienced,2025-06-29
3146,Meera Rao,Bicycle,Beginner,2023-04-09
3147,Arjun Reddy,Bicycle,Intermediate,2023-07-21
3148,Rohan Sharma,Bike,Experienced,2022-04-18
3149,Aditya Das,Bike,Experienced,2025-08-28
3150,Riya Naidu,Scooter,Intermediate,2023-02-23
